CANDIDATO GANADOR,DEPARTAMENTO,VOTOS,PORCENTAJE
ROBERTO HELBERT SANCHEZ PALOMINO,AMAZONAS,58213,36.272
KEIKO SOFIA FUJIMORI HIGUCHI,ÁNCASH,95672,17.951
ROBERTO HELBERT SANCHEZ PALOMINO,APURÍMAC,81091,40.976
JORGE NIETO MONTESINOS,AREQUIPA,163273,18.656
ROBERTO HELBERT SANCHEZ PALOMINO,AYACUCHO,88382,31.311
ROBERTO HELBERT SANCHEZ PALOMINO,CAJAMARCA,264881,41.652
KEIKO SOFIA FUJIMORI HIGUCHI,CALLAO,11703,20.666
ROBERTO HELBERT SANCHEZ PALOMINO,CUSCO,154156,22.859
ROBERTO HELBERT SANCHEZ PALOMINO,HUANCAVELICA,72292,43.361
ROBERTO HELBERT SANCHEZ PALOMINO,HUÁNUCO,97133,29.596
KEIKO SOFIA FUJIMORI HIGUCHI,ICA,93864,20.292
KEIKO SOFIA FUJIMORI HIGUCHI,JUNÍN,107717,17.05
KEIKO SOFIA FUJIMORI HIGUCHI,LA LIBERTAD,187705,20.264
KEIKO SOFIA FUJIMORI HIGUCHI,LAMBAYEQUE,176012,26.4
RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,LIMA,1177382,19.889
KEIKO SOFIA FUJIMORI HIGUCHI,LORETO,86846,27.879
ROBERTO HELBERT SANCHEZ PALOMINO,MADRE DE DIOS,18371,23.375
ROBERTO HELBERT SANCHEZ PALOMINO,MOQUEGUA,14551,12.861
KEIKO SOFIA FUJIMORI HIGUCHI,PASCO,21502,18.769
KEIKO SOFIA FUJIMORI HIGUCHI,PIURA,239036,27.985
ROBERTO HELBERT SANCHEZ PALOMINO,PUNO,161018,24.92
ROBERTO HELBERT SANCHEZ PALOMINO,SAN MARTÍN,89893,23.958
RICARDO PABLO BELMONT CASSINELLI,TACNA,32248,14.627
KEIKO SOFIA FUJIMORI HIGUCHI,TUMBES,37850,34.136
KEIKO SOFIA FUJIMORI HIGUCHI,UCAYALI,62564,29.601
